UNITID,PREDDEG,CURROPER,TUITIONFEE_IN,EARN_2011,GRAD_DEBT_MDN,COMPL_RPY_3YR_RT,MD_INC_RPY_5YR_RT
120768,3,1,13932.234,34900,19375,0.776470588,0.697
120795,4,1,13932.234,26997,17105,0.62,0.697
120838,3,1,13932.234,26997,17105,0.62,0.697
120865,3,1,27480,35100,28334,0.62,0.827868852
120883,3,1,39810,52300,23500,0.62,0.915014164
120953,1,1,1288,17500,17105,0.62,0.697
120971,1,1,1328,23500,7000,0.62,0.697
121017,1,1,13932.234,14700,17105,0.62,0.697
121044,2,1,1152,22600,9000,0.62,0.697
121150,3,1,44902,48700,27000,0.940397351,0.918032787
121257,3,1,45018,29800,15088,0.62,0.697
121275,2,1,23250,29300,22993.5,0.62,0.697
121309,3,1,30356,38300,24951,0.62,0.913612565
121345,3,1,43580,34600,8600,0.62,0.697
121363,2,1,1322,19100,17105,0.62,0.697
121381,3,1,15122,26300,38913,0.62,0.423076923
121433,1,1,13932.234,13000,3368,0.62,0.697
121619,2,1,1142,24900,7347,0.62,0.697
121628,4,1,13932.234,26997,17105,0.62,0.697
121637,1,1,13932.234,26997,17105,0.62,0.697
121691,3,1,41290,41000,27000,0.62,0.903225806
121707,2,1,1140,19500,8317,0.62,0.639175258
121859,1,1,13932.234,14900,9525,0.62,0.697
121868,1,1,13932.234,15200,10556,0.699619772,0.697
121886,2,1,1178,24000,7500,0.62,0.697
121901,2,1,1426,23000,6875,0.62,0.722689076
121983,3,1,13932.234,33800,14323,0.739811912,0.736035049
121992,1,1,13932.234,10300,17105,0.62,0.697
122117,4,1,13932.234,26997,17105,0.62,0.697
122180,2,1,1104,22700,10364,0.62,0.666666667
122205,1,1,762,24700,9226,0.62,0.697
122296,3,1,13932.234,92700,18750,0.62,0.697
122339,2,1,1142,21100,7845,0.62,0.614457831
122366,2,1,16670,20400,19000,0.361916204,0.452173913
122375,2,1,1142,27500,4500,0.62,0.758974359
122384,2,1,1142,27400,17105,0.62,0.697
122409,3,1,6766,35800,16460,0.62,0.902459358
122436,3,1,41392,42800,22500,0.62,0.922077922
122454,3,1,38406,21800,24000,0.62,0.697
122506,3,1,39580,26997,27000,0.62,0.697
122597,3,1,6450,34400,17775,0.62,0.869379015
122603,4,1,13932.234,26997,17105,0.62,0.697
122612,3,1,40294,48100,25000,0.62,0.908045977
122649,4,1,13932.234,26997,17105,0.62,0.697
122658,2,1,1104,20800,8750,0.62,0.554545455
122685,2,1,16606,23700,19648.5,0.503453569,0.564121572
122694,2,1,16492,23700,19648.5,0.503453569,0.564121572
122728,3,1,24040,27400,21500,0.62,0.915254237
122746,2,1,1324,22200,8000,0.62,0.697
122755,3,1,7343,39100,16251,0.62,0.878916173
122791,1,1,1418,28900,5250,0.62,0.697
122834,2,1,12464,22600,19208.5,0.62,0.697
122843,3,1,15080,22100,37655.5,0.505344418,0.397905759
122852,1,1,12464,21200,17575,0.62,0.697
122889,2,1,1374,27100,10500,0.62,0.668085106
122931,3,1,42156,49800,20500,0.62,0.697
122977,1,1,1140,22900,7600,0.62,0.625
123013,1,1,1280,26200,9922,0.62,0.697
